[2026-08-13 18:04:33.836] [INFO] [App] RotinaRemote Client iniciando...
[2026-08-13 18:04:33.986] [INFO] [P2PListener] Listener TCP iniciado na porta 48270
[2026-08-13 18:04:33.994] [INFO] [LanDiscovery] Serviço de Descoberta LAN ativo na porta UDP 48271
[2026-08-13 18:04:34.864] [INFO] [SignalingClient] Conectado ao Servidor de Sinalização em wss://rotinaremote.onrender.com/ws
[2026-08-13 18:04:34.889] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:34.908] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:35.050] [INFO] [SignalingClient] Registrado com sucesso no Servidor de Sinalização com ID: 944363539
[2026-08-13 18:04:37.915] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:37.937] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:40.937] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:40.952] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:43.956] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:43.972] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:46.978] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:46.997] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:50.010] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:50.012] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:53.182] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:53.183] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:56.041] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:56.060] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:59.061] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:04:59.078] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:02.078] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:02.101] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
[2026-08-13 18:05:05.102] [INFO] [LanDiscovery] Peer descoberto na LAN: ID=352337623, IP=172.25.233.11:48270
